"Schools_2006","lon","lat"
820,130.8475181,-12.4264942
835,131.0696413,-12.4779013
810,130.8677469,-12.3675944
830,131.0192349,-12.3860487
800,130.7766611,-12.3932794
6108,115.9527126,-32.0570426
3173,145.1706992,-38.0042683
3183,144.9997396,-37.8670566
3170,145.1762197,-37.9267579
3166,145.0989646,-37.9006677
3163,145.0548502,-37.8950779
3167,145.0989646,-37.9193474
3194,145.0741474,-37.9786189
3149,145.1265477,-37.8772869
3195,145.1044805,-38.0005492
3147,145.0906914,-37.8675054
0,133.775136,-25.274398
3072,145.0107588,-37.7399362
3169,145.1210303,-37.9454838
3172,145.1320653,-37.9772192
2141,151.0413133,-33.8719405
2192,151.0908086,-33.9178204
2035,151.2393885,-33.942927
2034,151.2539627,-33.9236193
2121,151.0791612,-33.7716764
2768,150.9278252,-33.7278158
2220,151.0995447,-33.9583688
2223,151.0762495,-33.9830462
2143,151.0296696,-33.8893965
2066,151.1694511,-33.8126017
2177,150.8812903,-33.8946607
2165,150.9452794,-33.8702903
2040,151.1548847,-33.8779521
2065,151.195674,-33.8269489
2049,151.1548847,-33.8932918
2217,151.1374068,-33.9757081
2010,133.775136,-25.274398
2007,133.775136,-25.274398
2214,150.9801939,-33.9405364
2032,151.2306446,-33.9279209
2194,151.1024569,-33.9105784
2125,151.0296696,-33.7462388
2193,151.1199309,-33.909932
2209,151.0791612,-33.9454921
2122,151.0966326,-33.7863691
2117,151.0296696,-33.7973906
2211,151.0296696,-33.9608964
6230,115.6273131,-33.3870825
6228,115.7693535,-33.3347411
6233,115.7338502,-33.1853877
6280,115.3311689,-33.7555447
6227,115.816684,-33.3242404
6237,115.6865054,-33.4891504
6220,116.0886704,-33.0016541
6281,115.0821842,-33.6107557
6163,115.7930198,-32.0865957
6236,115.8758354,-33.4470807
6357,118.8130675,-32.6899741
3355,143.7911684,-37.5089149
3465,143.6935405,-37.0550295
3350,143.8563224,-37.5691087
3357,143.8943543,-37.6521937
3345,144.1174856,-37.5678296
3352,143.8671868,-37.7122033
3340,144.4123303,-37.7356162
3461,144.1938221,-37.286475
3860,146.9661233,-37.6951451
3337,144.5875645,-37.6095412
3341,144.3248554,-37.5934691
3371,143.6718623,-37.2153546
3127,145.0989646,-37.8259003
3104,145.0879338,-37.7941151
3101,145.0328017,-37.803516
3123,145.0520938,-37.8310813
3094,145.1237889,-37.7196403
3103,145.0769045,-37.8090918
3032,144.9006313,-37.7773364
3126,145.0741474,-37.8245223
3130,145.1541397,-37.8258214
3102,145.0548502,-37.7922797
3105,145.0879338,-37.7660476
3078,145.0190242,-37.7824868
3124,145.0658766,-37.8334095
3146,145.0548502,-37.8577136
3178,145.2424941,-37.9210442
3079,145.0438252,-37.7698427
3128,145.1210303,-37.8333543
3095,145.1706992,-37.7049998
3109,145.1541397,-37.7883929
3106,145.1486206,-37.7537669
3111,145.1872619,-37.7901921
3134,145.2424941,-37.7900435
3089,145.1541397,-37.6666174
3204,145.0438252,-37.9193526
3132,145.1983055,-37.8219905
3114,145.2148736,-37.7760752
3137,145.3198788,-37.8253798
5066,138.663955,-34.9485341
5063,138.6213476,-34.9515307
5125,138.7241621,-34.7715516
5065,138.6439004,-34.9402486
5068,138.6564337,-34.9202316
5087,138.6464068,-34.8702649
5064,138.6439004,-34.9585672
5083,138.6113271,-34.8786853
5025,138.5362308,-34.9117
5091,138.7342029,-34.8215901
5074,138.6714773,-34.8806117
5152,138.7091042,-34.9900747
5006,138.5962997,-34.9091145
5076,138.7040858,-34.873423
5089,138.7342029,-34.8491256
3550,144.2920769,-36.7665875
3551,144.4779988,-36.8021738
3555,144.2483931,-36.808032
3556,144.1938221,-36.6478425
5158,138.5337293,-35.0684234
5043,138.5537441,-34.9944528
5032,138.5437358,-34.9262534
5049,138.5237246,-35.0459889
5046,138.5437358,-35.008591
5044,138.5262256,-34.9944627
5048,138.5237246,-35.0185675
5159,138.5887875,-35.0684302
3139,145.5579927,-37.8251456
3136,145.2811778,-37.7983502
3135,145.2535448,-37.8218486
3113,145.2148736,-37.7386037
3788,145.3751961,-37.8532703
3150,145.1706992,-37.8921876
3031,144.9198932,-37.790896
3133,145.1983055,-37.8500602
3156,145.3032906,-37.9368007
2221,151.1111936,-33.9919897
2216,151.1490585,-33.9531396
2218,151.1199309,-33.9712426
2205,151.1490585,-33.9378099
2219,151.1315813,-33.9946489
2207,151.1228434,-33.9541086
2196,151.0558691,-33.9293131
2290,151.712257,-32.9754667
2306,151.680106,-32.9908543
2282,151.6479611,-32.9648241
2318,151.8643252,-32.753389
2285,151.6187438,-32.9110348
2287,151.6654939,-32.9018298
2283,151.5953736,-33.050132
2281,151.6362736,-33.1170985
2259,151.3501856,-33.2059456
2350,151.9813913,-30.4941859
2400,149.7487272,-29.4491211
2446,152.3565156,-31.4267124
2370,151.9813913,-29.6445018
2354,151.8877321,-31.0638225
2834,147.9617144,-29.2801652
2024,133.775136,-25.274398
2033,151.2189869,-33.9096151
2031,151.2393885,-33.9122447
2019,151.1927601,-33.9821687
2036,151.2393885,-33.9735997
2020,144.9607551,-37.814296
6164,115.8640062,-32.1346584
6167,115.8403461,-32.2244737
6166,115.7871034,-32.146131
2154,150.9947439,-33.7270691
2759,150.7853574,-33.8060826
2000,133.775136,-25.274398
2112,151.1111936,-33.807991
2118,151.0413133,-33.7799114
2110,151.1374068,-33.8274649
2126,151.0413133,-33.7287467
2119,151.0646032,-33.7551665
2137,151.1024569,-33.8543494
2156,150.9656452,-33.6530868
2111,151.125756,-33.8296098
2155,150.9423702,-33.6880666
5162,138.5437358,-35.118261
5041,138.5937955,-34.9836086
5038,138.5537441,-34.9670082
5169,138.4837239,-35.1936786
5062,138.6338758,-34.9818924
5155,138.7643362,-34.9990972
5244,138.9404364,-34.929131
5051,138.623853,-35.0326583
5163,138.56876,-35.1332262
5050,138.5837799,-35.025203
5210,138.6288642,-35.3589696
6175,115.754561,-32.4466752
6210,115.7220148,-32.5461633
6208,115.8048521,-32.6440296
6173,115.7634366,-32.4051251
6215,115.8994923,-32.8757647
4805,151.700565,-22.5822615
5161,138.5337293,-35.0958327
5164,138.496221,-35.1281692
3029,144.7082568,-37.8282806
3019,144.8566207,-37.7903679
3023,144.7521888,-37.7687064
3038,144.7906484,-37.7024727
3020,144.823628,-37.7791149
3048,144.9226452,-37.6539007
3036,144.8126334,-37.6912843
3030,144.6753231,-37.938058
3037,144.7521888,-37.6940036
3012,144.8456217,-37.8146251
3025,144.8346241,-37.8388686
4122,153.0912986,-27.5480097
4152,153.1030766,-27.5070527
4159,153.2208914,-27.4880371
4118,153.0500809,-27.6749806
4157,153.1979543,-27.5819961
4179,153.1833308,-27.4666718
4161,153.220588,-27.522958
4151,153.0619877,-27.5009968
2549,149.817978,-36.9804396
2548,149.8757147,-36.8301133
2551,149.7948904,-37.2277856
2650,147.4174803,-35.283152
2550,149.7487272,-36.6279305
2913,149.1099161,-35.1783044
2615,149.0238401,-35.2087136
2614,149.0525253,-35.2516136
2600,149.1099161,-35.3075699
2617,149.092696,-35.228161
2612,149.1414924,-35.2792021
5072,138.7040858,-34.9101042
5067,138.6313699,-34.9236189
5070,138.6413941,-34.8956922
5082,138.5937955,-34.8828879
5069,138.6263585,-34.9078055
5034,138.5912914,-34.9528246
5052,138.6439004,-35.004348
5073,138.6815087,-34.8939181
5000,133.775136,-25.274398
5086,138.6413941,-34.8590277
2086,151.2248157,-33.7473073
3099,145.2148736,-37.5885255
3108,145.1210303,-37.7865824
3107,145.1099967,-37.7641408
3761,145.2811778,-37.5919774
5045,138.5162223,-34.9765911
5042,138.5837799,-35.0069082
2748,150.7330562,-33.818067
2774,150.6168974,-33.7266709
2750,150.6865817,-33.744767
2745,150.6517354,-33.8479652
2752,150.5936766,-33.9245658
2747,150.7330562,-33.7568098
2571,150.6401218,-34.2011979
2430,152.4973826,-31.9225132
2017,133.775136,-25.274398
2042,151.1781916,-33.8992314
2764,133.775136,-25.274398
2015,133.775136,-25.274398
2770,150.8086082,-33.7610185
2076,151.1228434,-33.7085861
2026,151.2714535,-33.8922511
2206,151.125756,-33.9267511
2043,151.1854757,-33.9023649
2203,151.1374068,-33.9041707
2234,151.006385,-34.0161592
2016,133.775136,-25.274398
2153,150.9889238,-33.7613862
2011,133.775136,-25.274398
2226,151.0646032,-34.0106901
2133,151.1082813,-33.8967345
2233,151.0704263,-34.1193032
2208,151.0995447,-33.9379361
4740,149.1271385,-21.1499948
